Index,Carat_ABC_segmentation
27416,A
27631,A
27131,A
26000,A
25999,A
26445,A
26535,A
23645,A
27680,A
24329,A
26432,A
24132,A
24298,A
21759,A
22429,A
27639,A
26101,A
22541,A
26468,A
25461,A
27519,A
26745,A
27650,A
27518,A
22742,A
27515,A
27685,A
27686,A
19340,A
27517,A
27516,A
23540,A
26934,A
16284,A
24817,A
22832,A
26933,A
19347,A
25851,A
25901,A
27740,A
22400,A
26130,A
24785,A
27025,A
27066,A
20463,A
27303,A
23581,A
17197,A
27017,A
25526,A
21567,A
19867,A
26555,A
26554,A
27617,A
26593,A
27164,A
22579,A
26909,A
22414,A
25193,A
27728,A
27082,A
27562,A
26957,A
27081,A
26658,A
25779,A
26536,A
27006,A
27355,A
27613,A
27067,A
26006,A
27285,A
25791,A
25533,A
27732,A
26119,A
25580,A
27406,A
23961,A
25763,A
27136,A
26609,A
24435,A
26608,A
27228,A
27523,A
25733,A
26456,A
27000,A
26916,A
25965,A
26819,A
25238,A
27522,A
22005,A
27240,A
27205,A
27266,A
26288,A
27095,A
27524,A
27024,A
27544,A
25649,A
25454,A
27180,A
27426,A
26572,A
26887,A
27431,A
26091,A
25650,A
26824,A
26645,A
27450,A
25481,A
27417,A
25628,A
26412,A
26448,A
23940,A
19922,A
27599,A
26959,A
25730,A
26925,A
24864,A
26044,A
24863,A
19082,A
20298,A
27551,A
25441,A
26910,A
27552,A
15685,A
24581,A
27341,A
26883,A
27177,A
26820,A
26271,A
25900,A
27239,A
25875,A
26139,A
26743,A
22441,A
26270,A
26660,A
23775,A
27457,A
23784,A
27186,A
24674,A
27587,A
26744,A
21626,A
25878,A
25769,A
26521,A
27325,A
27675,A
27658,A
27027,A
27028,A
27108,A
26886,A
26538,A
26537,A
26539,A
26048,A
27354,A
26086,A
26938,A
25056,A
26589,A
26805,A
27567,A
26405,A
27634,A
23890,A
27396,A
26570,A
26964,A
26321,A
24259,A
27635,A
26400,A
27147,A
27247,A
26804,A
27397,A
26867,A
27353,A
26569,A
24182,A
26793,A
25728,A
27640,A
26505,A
27625,A
22671,A
27622,A
26865,A
25819,A
26475,A
26463,A
26917,A
27727,A
27210,A
24125,A
27221,A
26816,A
27315,A
23235,A
25416,A
27119,A
27120,A
26605,A
25436,A
25951,A
27408,A
25564,A
26314,A
19947,A
24628,A
23215,A
23098,A
27464,A
25922,A
24991,A
25804,A
25760,A
23613,A
24841,A
19599,A
27198,A
17182,A
22873,A
25114,A
27261,A
27564,A
27621,A
27203,A
27335,A
27422,A
25739,A
26975,A
25738,A
27449,A
27421,A
27632,A
27273,A
26497,A
24115,A
26873,A
27179,A
17957,A
26089,A
27086,A
26978,A
26943,A
25231,A
24186,A
25816,A
26140,A
25339,A
26526,A
24148,A
27455,A
25340,A
25457,A
25676,A
25776,A
26476,A
26451,A
27542,A
27497,A
26601,A
25054,A
24617,A
22998,A
24274,A
27071,A
17898,A
27514,A
25155,A
27750,A
27254,A
27442,A
27745,A
24814,A
25143,A
26105,A
25627,A
27584,A
27213,A
27651,A
24524,A
25402,A
23496,A
25138,A
27664,A
27434,A
26757,A
20839,A
26768,A
26469,A
26653,A
27257,A
25268,A
25532,A
25459,A
26128,A
24597,A
26617,A
26524,A
27337,A
25276,A
24484,A
26529,A
26932,A
26923,A
24613,A
17692,A
26941,A
27556,A
25540,A
26972,A
25480,A
27018,A
25860,A
14139,A
26289,A
26257,A
26138,A
27123,A
26561,A
25203,A
23219,A
26560,A
25279,A
26213,A
26905,A
27425,A
25259,A
26949,A
24546,A
27583,A
24745,A
26068,A
27096,A
25077,A
25530,A
23092,A
19895,A
27430,A
17561,A
26460,A
20852,A
25793,A
27429,A
26760,A
16638,A
27015,A
26124,A
23072,A
27413,A
26178,A
26083,A
26108,A
22871,A
26818,A
26267,A
26797,A
27541,A
25227,A
26486,A
26495,A
26752,A
23878,A
26379,A
26585,A
24605,A
25484,A
25410,A
24731,A
25836,A
26876,A
25771,A
25284,A
17467,A
24495,A
27477,A
26465,A
24415,A
25141,A
25140,A
25192,A
13758,A
16440,A
27591,A
25062,A
25980,A
27008,A
25579,A
25911,A
26631,A
27560,A
26807,A
26750,A
22609,A
25497,A
27630,A
25723,A
27019,A
25736,A
26202,A
27023,A
24279,A
25393,A
27682,A
24923,A
25090,A
24073,A
25507,A
25331,A
27207,A
25251,A
16342,A
27473,A
27438,A
26322,A
27272,A
26436,A
25307,A
25107,A
24154,A
26753,A
27529,A
26423,A
27301,A
26134,A
19184,A
23059,A
25274,A
23122,A
26556,A
27349,A
24727,A
26008,A
25673,A
25490,A
27113,A
25991,A
25916,A
27437,A
24479,A
27561,A
26532,A
26742,A
25750,A
25571,A
27183,A
26393,A
26112,A
27484,A
27245,A
27344,A
26942,A
27500,A
25147,A
25931,A
24997,A
26173,A
23691,A
22141,A
25976,A
24913,A
27509,A
27441,A
26629,A
25975,A
26053,A
26300,A
23514,A
25813,A
26513,A
27677,A
27171,A
25903,A
26952,A
26395,A
25306,A
27608,A
27218,A
25286,A
25185,A
24858,A
27411,A
26647,A
27320,A
25837,A
26888,A
26224,A
26646,A
26808,A
25214,A
24537,A
24395,A
26243,A
26373,A
26895,A
27189,A
27187,A
26253,A
24635,A
26154,A
23571,A
24076,A
25773,A
22292,A
24564,A
24189,A
27152,A
27092,A
25052,A
25191,A
25601,A
26823,A
26276,A
25718,A
24153,A
26467,A
27282,A
27308,A
24939,A
26662,A
17098,A
24846,A
25751,A
23475,A
25814,A
27297,A
27336,A
27611,A
26258,A
20294,A
25974,A
25952,A
25520,A
27409,A
27110,A
26487,A
27603,A
27554,A
27311,A
25762,A
27427,A
26632,A
27358,A
27124,A
25486,A
26980,A
27742,A
24888,A
15906,A
26979,A
26217,A
13119,A
25093,A
23970,A
26272,A
26512,A
24663,A
23888,A
27605,A
25168,A
25637,A
25559,A
25643,A
24249,A
27090,A
24886,A
27088,A
24211,A
25487,A
26963,A
24726,A
25805,A
22252,A
26411,A
26398,A
27167,A
26283,A
24636,A
25622,A
27258,A
27535,A
26827,A
26906,A
26625,A
25234,A
27083,A
27011,A
13003,A
24899,A
25347,A
26169,A
26131,A
25518,A
25654,A
25008,A
26397,A
25599,A
25563,A
27200,A
25413,A
24818,A
25537,A
15816,A
26193,A
27072,A
27629,A
27628,A
25600,A
27469,A
24459,A
24953,A
24513,A
24780,A
25946,A
26069,A
26847,A
26915,A
27528,A
24641,A
24925,A
24924,A
24176,A
26477,A
24481,A
27596,A
26656,A
26261,A
26149,A
26988,A
25319,A
26057,A
26659,A
25258,A
25632,A
27105,A
26225,A
26982,A
25937,A
24122,A
23908,A
24448,A
27665,A
26517,A
27466,A
27463,A
27482,A
24438,A
26007,A
24882,A
23983,A
24967,A
26940,A
18460,A
24123,A
27310,A
26602,A
26736,A
26634,A
24685,A
25724,A
26275,A
27648,A
27578,A
26613,A
26628,A
26281,A
26828,A
27270,A
24397,A
24308,A
27428,A
23638,A
27328,A
25078,A
24083,A
25320,A
24396,A
24497,A
25137,A
26164,A
24732,A
26186,A
24311,A
24238,A
24838,A
19019,A
25711,A
24612,A
25775,A
26530,A
25990,A
26066,A
24239,A
26067,A
24010,A
24907,A
25464,A
26501,A
27663,A
24270,A
24002,A
24023,A
22432,A
24803,A
24212,A
23842,A
23979,A
23980,A
24198,A
23857,A
26175,A
27546,A
23764,A
26786,A
27104,A
24946,A
25538,A
25978,A
25170,A
26218,A
26158,A
24664,A
25200,A
26663,A
24142,A
26664,A
26785,A
16506,A
24969,A
25888,A
26857,A
27317,A
25283,A
27610,A
26315,A
24346,A
27602,A
24665,A
26231,A
25906,A
25561,A
16505,A
27237,A
25755,A
25247,A
25207,A
23935,A
25820,A
25977,A
27597,A
27641,A
27004,A
27571,A
26207,A
21972,A
25325,A
26814,A
26813,A
25667,A
24743,A
26582,A
26973,A
27407,A
27506,A
23101,A
24129,A
26098,A
27307,A
27022,A
23568,A
22145,A
25285,A
24990,A
25553,A
26944,A
25905,A
24764,A
24823,A
24417,A
25604,A
23792,A
25343,A
24683,A
23822,A
26250,A
25159,A
25954,A
27107,A
25856,A
27184,A
27185,A
26889,A
27300,A
25299,A
27351,A
25864,A
27600,A
27731,A
27577,A
25919,A
25918,A
27244,A
26232,A
27532,A
26382,A
