Index,Clarity_ABC_segmentation
30807,A
38917,A
36264,A
36265,A
36266,A
38113,A
48425,A
38114,A
38116,A
38117,A
38118,A
38895,A
35326,A
14550,A
21836,A
32116,A
21837,A
13438,A
40160,A
32138,A
40162,A
48536,A
48537,A
40749,A
38912,A
38913,A
48545,A
48498,A
38914,A
51552,A
40736,A
38166,A
22136,A
40191,A
12862,A
53912,A
22137,A
35208,A
14498,A
52802,A
35209,A
18175,A
35210,A
38927,A
40737,A
38930,A
35686,A
39012,A
39021,A
29221,A
29222,A
40738,A
13386,A
41330,A
38980,A
38171,A
38981,A
39795,A
21868,A
37055,A
30640,A
35327,A
39040,A
39041,A
18054,A
18148,A
18114,A
36883,A
36888,A
36889,A
36896,A
36897,A
36898,A
21915,A
257,A
21217,A
251,A
36177,A
282,A
30177,A
36201,A
38172,A
36909,A
36910,A
36911,A
39783,A
18055,A
37154,A
18656,A
41099,A
39791,A
51688,A
51689,A
37203,A
38165,A
51666,A
38168,A
37207,A
37208,A
37209,A
37210,A
37211,A
37199,A
37214,A
37215,A
37216,A
38169,A
38244,A
37204,A
37205,A
37206,A
38245,A
38246,A
17919,A
18722,A
38247,A
38248,A
38249,A
38240,A
314,A
36181,A
40539,A
39789,A
36831,A
36832,A
36833,A
36834,A
14182,A
36856,A
14246,A
14192,A
2214,A
39819,A
37212,A
37213,A
39036,A
38235,A
37256,A
38236,A
39037,A
37259,A
17888,A
15699,A
17862,A
15700,A
15701,A
40255,A
40540,A
39038,A
39039,A
22053,A
30680,A
22054,A
36823,A
36824,A
36809,A
36810,A
36811,A
36812,A
18786,A
15747,A
39823,A
1792,A
40324,A
20130,A
20218,A
20203,A
36806,A
36807,A
36808,A
36813,A
36814,A
36815,A
36801,A
36802,A
36803,A
36804,A
36805,A
17741,A
51969,A
20166,A
51970,A
30042,A
305,A
20171,A
20123,A
51959,A
51960,A
40330,A
53607,A
21270,A
51978,A
37326,A
39084,A
39094,A
38347,A
20225,A
39095,A
51991,A
39083,A
36776,A
40541,A
21284,A
52686,A
1161,A
1162,A
40342,A
41104,A
39167,A
39168,A
39169,A
39170,A
39821,A
40543,A
38338,A
40364,A
35267,A
35268,A
35269,A
40534,A
37319,A
37320,A
37321,A
37322,A
41247,A
36104,A
