Index,Color_ABC_segmentation
53923,A
160,A
53917,A
29,A
53940,A
44,A
43,A
39,A
53938,A
53937,A
156,A
143,A
82,A
153,A
41124,A
19923,A
19916,A
41125,A
121,A
128,A
132,A
145,A
148,A
149,A
53875,A
53850,A
53855,A
53839,A
53845,A
53858,A
53859,A
53861,A
53862,A
53883,A
53885,A
53887,A
78,A
79,A
64,A
53856,A
53857,A
19971,A
19972,A
41095,A
19995,A
19970,A
41011,A
41012,A
187,A
33326,A
33311,A
33327,A
33328,A
33319,A
33283,A
33284,A
33317,A
33318,A
33320,A
33321,A
33322,A
33323,A
33324,A
33325,A
151,A
133,A
33312,A
33313,A
33314,A
33315,A
33316,A
20049,A
20050,A
19880,A
19912,A
19902,A
20046,A
20084,A
19933,A
19887,A
40977,A
40978,A
20074,A
225,A
226,A
227,A
235,A
220,A
224,A
281,A
40980,A
40969,A
19863,A
19868,A
41148,A
41133,A
40979,A
20142,A
40971,A
19810,A
19804,A
19765,A
20183,A
41160,A
41162,A
41163,A
41166,A
41167,A
40952,A
40953,A
20169,A
20172,A
20157,A
41152,A
41154,A
40955,A
40939,A
40951,A
53790,A
53773,A
53774,A
33304,A
33307,A
33308,A
33293,A
33294,A
33292,A
33279,A
33296,A
33298,A
33285,A
33286,A
33287,A
171,A
172,A
239,A
33291,A
20188,A
20253,A
20211,A
20186,A
20217,A
40915,A
19769,A
19791,A
41184,A
41185,A
19742,A
19771,A
19772,A
19778,A
19764,A
41199,A
41203,A
19741,A
290,A
291,A
293,A
373,A
375,A
380,A
304,A
289,A
53814,A
53799,A
53802,A
53803,A
20227,A
41194,A
41180,A
41181,A
41182,A
41183,A
41196,A
40898,A
20228,A
40899,A
20236,A
40906,A
40858,A
20272,A
20289,A
20292,A
40880,A
53745,A
53747,A
53748,A
342,A
53765,A
350,A
351,A
352,A
53766,A
53771,A
53772,A
33259,A
33526,A
33527,A
33528,A
33529,A
33514,A
40848,A
40837,A
40873,A
40856,A
19712,A
41217,A
20341,A
20303,A
19709,A
40820,A
40825,A
40830,A
20339,A
53726,A
53727,A
384,A
33203,A
33230,A
33233,A
346,A
33260,A
33261,A
19653,A
19656,A
19659,A
19669,A
41233,A
41239,A
41243,A
41227,A
19668,A
40815,A
40817,A
41231,A
41232,A
20345,A
40797,A
33184,A
53708,A
53711,A
53712,A
53713,A
33183,A
53731,A
33170,A
33173,A
19623,A
19638,A
19639,A
20344,A
41247,A
19681,A
41271,A
41262,A
40772,A
40778,A
40779,A
40780,A
40781,A
40783,A
40774,A
41295,A
41296,A
41297,A
41298,A
19570,A
19572,A
20455,A
41302,A
41286,A
41287,A
41288,A
41290,A
40710,A
40711,A
40714,A
40731,A
40733,A
486,A
448,A
433,A
53682,A
53720,A
53704,A
53705,A
423,A
19549,A
19550,A
19563,A
19555,A
41337,A
19548,A
19507,A
41408,A
41413,A
19491,A
41414,A
41416,A
504,A
507,A
510,A
511,A
53664,A
53652,A
501,A
53683,A
53684,A
496,A
497,A
40707,A
41397,A
20486,A
20490,A
20534,A
20479,A
19466,A
19483,A
19477,A
19465,A
40690,A
40692,A
40693,A
40681,A
20548,A
20547,A
19428,A
19426,A
19456,A
41474,A
41475,A
41469,A
41487,A
41471,A
41472,A
41473,A
571,A
53655,A
53657,A
537,A
572,A
542,A
506,A
532,A
498,A
499,A
517,A
