Index,Cut_ABC_segmentation
53940,A
1,A
53936,A
53930,A
53927,A
53926,A
53844,A
53848,A
53849,A
53850,A
53852,A
53853,A
53855,A
53856,A
53838,A
53840,A
53843,A
53824,A
108,A
110,A
112,A
118,A
119,A
121,A
93,A
103,A
105,A
106,A
91,A
67,A
83,A
84,A
53810,A
53811,A
53790,A
53796,A
53797,A
53798,A
53799,A
53802,A
53781,A
53783,A
53784,A
53785,A
53751,A
53763,A
53771,A
53772,A
53773,A
53774,A
168,A
171,A
174,A
175,A
156,A
160,A
164,A
140,A
145,A
150,A
152,A
122,A
131,A
133,A
139,A
53739,A
53743,A
53745,A
53750,A
53731,A
53736,A
53737,A
53738,A
53716,A
53717,A
53718,A
53720,A
53721,A
53725,A
53704,A
53705,A
53712,A
53713,A
218,A
221,A
225,A
210,A
214,A
215,A
217,A
199,A
180,A
181,A
182,A
183,A
184,A
186,A
192,A
53688,A
53695,A
53672,A
53673,A
53679,A
53680,A
53658,A
53660,A
53662,A
53667,A
53671,A
53647,A
53648,A
53649,A
53653,A
53655,A
274,A
275,A
257,A
263,A
266,A
249,A
250,A
251,A
235,A
238,A
53634,A
53635,A
53636,A
53637,A
53639,A
53640,A
53643,A
53625,A
53632,A
53611,A
53616,A
53619,A
53620,A
53599,A
53607,A
332,A
333,A
310,A
313,A
314,A
319,A
296,A
301,A
304,A
309,A
293,A
294,A
295,A
53587,A
53589,A
53591,A
53592,A
53574,A
53575,A
53576,A
53559,A
53568,A
53544,A
53546,A
53552,A
53553,A
53555,A
53556,A
402,A
405,A
409,A
393,A
396,A
359,A
372,A
380,A
342,A
349,A
350,A
351,A
352,A
356,A
53537,A
53538,A
53539,A
53524,A
53528,A
53529,A
53530,A
53531,A
53532,A
53533,A
53534,A
53508,A
53514,A
53515,A
53521,A
53494,A
53503,A
53473,A
53474,A
53480,A
53481,A
53486,A
53488,A
53467,A
53468,A
53470,A
53471,A
53472,A
53448,A
53450,A
53458,A
53459,A
53460,A
53462,A
53428,A
53441,A
447,A
450,A
451,A
453,A
436,A
437,A
438,A
439,A
423,A
431,A
410,A
411,A
412,A
413,A
415,A
418,A
419,A
420,A
475,A
478,A
479,A
481,A
468,A
469,A
454,A
459,A
461,A
53406,A
53407,A
53415,A
53417,A
53425,A
53391,A
53392,A
53398,A
53400,A
53374,A
53375,A
53376,A
53378,A
53379,A
53380,A
53390,A
53370,A
53372,A
53354,A
53355,A
53356,A
53343,A
53344,A
53345,A
53346,A
53327,A
53328,A
53329,A
53330,A
53331,A
53336,A
53337,A
53313,A
53314,A
53315,A
53318,A
53324,A
53325,A
53326,A
514,A
516,A
518,A
504,A
506,A
507,A
510,A
494,A
499,A
501,A
53303,A
53306,A
53311,A
53312,A
53293,A
53296,A
53298,A
53300,A
53302,A
53282,A
53288,A
53272,A
53277,A
53280,A
576,A
577,A
580,A
583,A
586,A
587,A
588,A
561,A
566,A
572,A
574,A
546,A
555,A
558,A
559,A
540,A
541,A
542,A
53249,A
53259,A
53236,A
53237,A
53238,A
53242,A
53245,A
53247,A
53221,A
53224,A
53225,A
53231,A
53201,A
53203,A
53204,A
53212,A
53213,A
53220,A
661,A
663,A
666,A
667,A
647,A
649,A
651,A
654,A
656,A
625,A
637,A
640,A
593,A
614,A
615,A
616,A
716,A
718,A
690,A
691,A
692,A
696,A
673,A
676,A
682,A
685,A
53188,A
53189,A
53190,A
53195,A
53196,A
53198,A
53179,A
53180,A
53182,A
53162,A
53163,A
53165,A
53151,A
53152,A
53136,A
53137,A
53140,A
53141,A
53125,A
53126,A
53131,A
53133,A
53134,A
53110,A
53113,A
53114,A
53115,A
53120,A
53121,A
53101,A
53102,A
53103,A
53105,A
53106,A
53107,A
748,A
756,A
738,A
739,A
743,A
747,A
731,A
732,A
733,A
734,A
735,A
736,A
737,A
721,A
722,A
723,A
729,A
53090,A
53092,A
53096,A
53100,A
53080,A
53082,A
53085,A
53086,A
53087,A
53088,A
53089,A
53069,A
53070,A
53071,A
53073,A
53075,A
53052,A
53063,A
53064,A
797,A
805,A
782,A
786,A
787,A
773,A
776,A
759,A
767,A
768,A
53040,A
53041,A
53043,A
53047,A
53048,A
53049,A
53027,A
53030,A
53031,A
53039,A
53015,A
52996,A
52997,A
52998,A
52999,A
846,A
847,A
848,A
849,A
851,A
827,A
830,A
831,A
839,A
841,A
842,A
820,A
821,A
826,A
811,A
52984,A
52985,A
52986,A
52987,A
52988,A
52990,A
52949,A
52950,A
52971,A
52972,A
52973,A
52974,A
52980,A
52925,A
52926,A
52927,A
52932,A
52910,A
52911,A
52912,A
52923,A
52924,A
897,A
878,A
879,A
863,A
866,A
868,A
870,A
871,A
874,A
853,A
854,A
856,A
862,A
52897,A
52901,A
52902,A
52903,A
52908,A
52909,A
52880,A
52881,A
52882,A
52883,A
52884,A
52895,A
52868,A
52869,A
52871,A
52875,A
52859,A
52860,A
945,A
951,A
952,A
960,A
963,A
938,A
941,A
942,A
917,A
918,A
919,A
924,A
932,A
904,A
905,A
911,A
52847,A
52848,A
52851,A
52852,A
52842,A
52843,A
52844,A
52845,A
52846,A
52815,A
52829,A
52802,A
1004,A
1005,A
1006,A
1007,A
1008,A
1009,A
996,A
997,A
1001,A
1002,A
979,A
983,A
988,A
989,A
990,A
993,A
964,A
965,A
967,A
971,A
974,A
52782,A
52786,A
52791,A
52801,A
52763,A
52767,A
52768,A
52774,A
52775,A
52781,A
52747,A
52748,A
52751,A
52754,A
52755,A
52761,A
52738,A
52739,A
52741,A
52743,A
52744,A
52745,A
52746,A
1050,A
1051,A
1052,A
1053,A
1041,A
1043,A
1044,A
1045,A
1046,A
1049,A
1023,A
1024,A
1030,A
1036,A
1014,A
1016,A
1018,A
1019,A
1087,A
1090,A
1091,A
1079,A
1082,A
1085,A
1086,A
1064,A
1065,A
1066,A
1068,A
52722,A
52725,A
52726,A
52727,A
52728,A
52734,A
52709,A
52696,A
52701,A
52702,A
52703,A
52682,A
52683,A
52684,A
52686,A
52687,A
1154,A
1158,A
1162,A
1163,A
1130,A
1131,A
1146,A
1152,A
1153,A
1109,A
1111,A
1117,A
1119,A
1123,A
1124,A
1105,A
52670,A
52672,A
52673,A
52654,A
52655,A
52656,A
52626,A
52632,A
52651,A
52652,A
52653,A
52606,A
52612,A
52614,A
1217,A
1219,A
1220,A
1222,A
1205,A
1206,A
1212,A
1185,A
1198,A
1169,A
1175,A
1176,A
1179,A
1181,A
1182,A
52595,A
52600,A
52604,A
52581,A
52587,A
52588,A
52571,A
52578,A
52579,A
52580,A
52562,A
52563,A
52570,A
52559,A
52561,A
52541,A
52547,A
52548,A
52550,A
52526,A
52531,A
52532,A
52533,A
52536,A
52537,A
52538,A
52506,A
52507,A
52510,A
52511,A
52522,A
52523,A
1270,A
1273,A
1274,A
1275,A
1259,A
1260,A
1261,A
1262,A
1265,A
1266,A
1250,A
1251,A
1252,A
1253,A
1255,A
1256,A
1258,A
1230,A
1231,A
1240,A
1243,A
1324,A
1329,A
1331,A
1332,A
1334,A
1336,A
1305,A
1317,A
1318,A
1292,A
1293,A
1294,A
1300,A
1303,A
1278,A
1282,A
1284,A
1289,A
1290,A
1291,A
52495,A
52500,A
52501,A
52502,A
52505,A
52485,A
52487,A
52488,A
52491,A
52492,A
52494,A
52478,A
52480,A
52462,A
52469,A
52472,A
1374,A
1380,A
1383,A
1388,A
1389,A
1390,A
1366,A
1367,A
1368,A
1369,A
1370,A
1371,A
1350,A
1357,A
1341,A
1342,A
1346,A
1347,A
1348,A
52451,A
52452,A
52453,A
52459,A
52438,A
52439,A
52440,A
52441,A
52443,A
52427,A
52433,A
52410,A
52411,A
52414,A
1426,A
1427,A
1431,A
1432,A
1433,A
1416,A
1417,A
1422,A
1399,A
1400,A
1401,A
1406,A
1408,A
1410,A
1391,A
1392,A
1393,A
1394,A
1395,A
1396,A
1397,A
1398,A
1474,A
1478,A
1481,A
1482,A
1483,A
1465,A
1467,A
1469,A
1471,A
1455,A
1456,A
1457,A
1458,A
1459,A
1460,A
1462,A
1440,A
1446,A
1449,A
1450,A
52404,A
52407,A
52408,A
52409,A
52385,A
52386,A
52392,A
52393,A
52398,A
52399,A
52366,A
52370,A
52377,A
52378,A
52383,A
52384,A
52356,A
52357,A
52358,A
52359,A
52363,A
1535,A
1514,A
1515,A
1518,A
1519,A
1520,A
1521,A
1522,A
1498,A
1503,A
1505,A
1506,A
1484,A
1485,A
1489,A
1495,A
1496,A
52343,A
52348,A
52349,A
52332,A
52336,A
52327,A
52302,A
52303,A
52309,A
52310,A
1577,A
1578,A
1579,A
1580,A
1581,A
1582,A
1585,A
1567,A
1568,A
1574,A
1575,A
1551,A
1554,A
1559,A
1560,A
1561,A
1539,A
1544,A
52276,A
52277,A
52281,A
52282,A
52288,A
52301,A
52262,A
52263,A
52264,A
52265,A
52275,A
52249,A
52250,A
52251,A
52252,A
52259,A
52260,A
52239,A
52241,A
52246,A
52247,A
52248,A
1633,A
1635,A
1637,A
1641,A
1648,A
1622,A
1623,A
1629,A
1630,A
1608,A
1611,A
1612,A
1613,A
1614,A
1619,A
1620,A
1594,A
1595,A
1601,A
1606,A
1607,A
1682,A
1689,A
1690,A
1691,A
1673,A
1674,A
1675,A
1681,A
1655,A
1657,A
1658,A
52228,A
52238,A
52205,A
52206,A
52207,A
52217,A
52218,A
52220,A
52201,A
52204,A
52187,A
52188,A
52189,A
52190,A
52191,A
52194,A
52173,A
52178,A
52182,A
52162,A
52163,A
52165,A
52170,A
52171,A
52172,A
52136,A
52144,A
52145,A
52148,A
52126,A
52127,A
52129,A
52131,A
52134,A
1729,A
1733,A
1715,A
1721,A
1722,A
1723,A
1704,A
1706,A
1708,A
1697,A
1699,A
1701,A
1702,A
1703,A
52107,A
52108,A
52109,A
52117,A
52120,A
52090,A
52097,A
52100,A
52101,A
52103,A
52106,A
52080,A
52081,A
52083,A
52087,A
52089,A
52065,A
52067,A
52070,A
52073,A
52078,A
1779,A
1782,A
1783,A
1784,A
1787,A
1765,A
1772,A
1776,A
1749,A
1753,A
1756,A
1758,A
1764,A
1738,A
1739,A
1740,A
1741,A
1742,A
1743,A
1744,A
1840,A
1816,A
1817,A
1836,A
1807,A
1815,A
1788,A
1790,A
1800,A
1802,A
1803,A
52050,A
52053,A
52055,A
52061,A
52039,A
52043,A
52047,A
52023,A
52024,A
52032,A
52007,A
52008,A
52009,A
52010,A
51991,A
51994,A
51995,A
51969,A
51970,A
51979,A
