Index,Depth_ABC_segmentation
52862,A
52861,A
41919,A
46680,A
53541,A
51929,A
8673,A
45689,A
4308,A
8187,A
42105,A
38841,A
27647,A
8357,A
47126,A
17182,A
51008,A
15782,A
16440,A
8015,A
11779,A
49496,A
14646,A
8576,A
45829,A
9983,A
9677,A
2982,A
18545,A
5576,A
10761,A
900,A
13003,A
2367,A
43481,A
1439,A
46093,A
20338,A
5140,A
12646,A
5463,A
46450,A
12619,A
18359,A
7774,A
4602,A
4326,A
53801,A
21449,A
31231,A
39739,A
40531,A
17692,A
34582,A
46785,A
4274,A
50380,A
12424,A
16409,A
2357,A
47920,A
2914,A
49539,A
19786,A
37304,A
6021,A
2213,A
5461,A
2113,A
17197,A
51086,A
15504,A
1812,A
386,A
46203,A
17223,A
14505,A
15850,A
15866,A
22872,A
720,A
33524,A
205,A
7023,A
52539,A
715,A
46431,A
13923,A
51203,A
52994,A
16257,A
16638,A
5015,A
51840,A
4506,A
896,A
22461,A
27165,A
41878,A
48489,A
802,A
9785,A
13271,A
53435,A
45615,A
2874,A
14139,A
27624,A
9282,A
39308,A
20878,A
27352,A
24245,A
16505,A
299,A
46824,A
13992,A
17957,A
47783,A
4780,A
19503,A
14882,A
48260,A
48093,A
11828,A
52471,A
40772,A
51259,A
36818,A
36819,A
48885,A
353,A
46843,A
26067,A
18358,A
46611,A
1239,A
23645,A
19347,A
20103,A
40421,A
51709,A
4696,A
39907,A
15228,A
14129,A
25441,A
42142,A
6402,A
2183,A
1099,A
1883,A
2184,A
48607,A
37330,A
46348,A
26491,A
940,A
6752,A
22668,A
10271,A
53728,A
53496,A
22005,A
41821,A
37814,A
43584,A
37112,A
16085,A
25730,A
14668,A
9121,A
45760,A
42987,A
19407,A
53864,A
2230,A
26432,A
52590,A
10814,A
1676,A
34252,A
15314,A
7097,A
8866,A
36673,A
4145,A
19332,A
39319,A
8856,A
36822,A
10937,A
22756,A
51463,A
23021,A
50328,A
636,A
13758,A
26264,A
53123,A
42548,A
8722,A
2178,A
51465,A
14914,A
3152,A
52569,A
25566,A
12830,A
9098,A
21737,A
1907,A
40422,A
11130,A
13248,A
50747,A
19289,A
41506,A
2746,A
8509,A
4789,A
52806,A
22621,A
40026,A
51125,A
40674,A
52849,A
39842,A
17025,A
25452,A
3565,A
39061,A
6061,A
38550,A
23176,A
31616,A
51123,A
10498,A
1268,A
15816,A
51732,A
41126,A
370,A
8854,A
3421,A
4152,A
51629,A
5007,A
38443,A
19184,A
52594,A
15941,A
40434,A
51572,A
15685,A
51425,A
22052,A
50004,A
26265,A
9981,A
6816,A
43217,A
24599,A
6940,A
24992,A
5034,A
899,A
7375,A
38174,A
6678,A
30719,A
30720,A
8188,A
39914,A
7821,A
11911,A
1600,A
45535,A
52269,A
52677,A
16502,A
2935,A
22594,A
26389,A
19985,A
6430,A
4669,A
751,A
9982,A
4208,A
3837,A
4808,A
2890,A
1811,A
50603,A
1796,A
5935,A
19016,A
40875,A
42092,A
52707,A
10657,A
46891,A
42905,A
