Index,Carat,Cut,Color,Clarity,Depth,Table,Price,x,y,z,Size,Cut_number_classification,Color_number_classification,Clarity_number_classification
1,"0,23",Ideal,E,SI2,"61,5","55,0",326,"3,95","3,98","2,43","38,2",5,6,2
2,"0,21",Premium,E,SI1,"59,8","61,0",326,"3,89","3,84","2,31","34,51",4,6,3
3,"0,23",Good,E,VS1,"56,9","65,0",327,"4,05","4,07","2,31","38,08",2,6,5
4,"0,29",Premium,I,VS2,"62,4","58,0",334,"4,2","4,23","2,63","46,72",4,2,4
5,"0,31",Good,J,SI2,"63,3","58,0",335,"4,34","4,35","2,75","51,92",2,1,2
6,"0,24",very Good,J,VVS2,"62,8","57,0",336,"3,94","3,96","2,48","38,69",3,1,6
7,"0,24",very Good,I,VVS1,"62,3","57,0",336,"3,95","3,98","2,47","38,83",3,2,7
8,"0,26",very Good,H,SI1,"61,9","55,0",337,"4,07","4,11","2,53","42,32",3,3,3
9,"0,22",Fair,E,VS2,"65,1","61,0",337,"3,87","3,78","2,49","36,43",1,6,4
10,"0,23",very Good,H,VS1,"59,4","61,0",338,"4,0","4,05","2,39","38,72",3,3,5
11,"0,3",Good,J,SI1,"64,0","55,0",339,"4,25","4,28","2,73","49,66",2,1,3
12,"0,23",Ideal,J,VS1,"62,8","56,0",340,"3,93","3,9","2,46","37,7",5,1,5
14,"0,31",Ideal,J,SI2,"62,2","54,0",344,"4,35","4,37","2,71","51,52",5,1,2
15,"0,2",Premium,E,SI2,"60,2","62,0",345,"3,79","3,75","2,27","32,26",4,6,2
16,"0,32",Premium,E,I1,"60,9","58,0",345,"4,38","4,42","2,68","51,88",4,6,1
17,"0,3",Ideal,I,SI2,"62,0","54,0",348,"4,31","4,34","2,68","50,13",5,2,2
18,"0,3",Good,J,SI1,"63,4","54,0",351,"4,23","4,29","2,7","49,0",2,1,3
19,"0,3",Good,J,SI1,"63,8","56,0",351,"4,23","4,26","2,71","48,83",2,1,3
20,"0,3",very Good,J,SI1,"62,7","59,0",351,"4,21","4,27","2,66","47,82",3,1,3
21,"0,3",Good,I,SI2,"63,3","56,0",351,"4,26","4,3","2,71","49,64",2,2,2
22,"0,23",very Good,E,VS2,"63,8","55,0",352,"3,85","3,92","2,48","37,43",3,6,4
23,"0,23",very Good,H,VS1,"61,0","57,0",353,"3,94","3,96","2,41","37,6",3,3,5
24,"0,31",very Good,J,SI1,"59,4","62,0",353,"4,39","4,43","2,62","50,95",3,1,3
25,"0,31",very Good,J,SI1,"58,1","62,0",353,"4,44","4,47","2,59","51,4",3,1,3
26,"0,23",very Good,G,VVS2,"60,4","58,0",354,"3,97","4,01","2,41","38,37",3,4,6
27,"0,24",Premium,I,VS1,"62,5","57,0",355,"3,97","3,94","2,47","38,64",4,2,5
28,"0,3",very Good,J,VS2,"62,2","57,0",357,"4,28","4,3","2,67","49,14",3,1,4
29,"0,23",very Good,D,VS2,"60,5","61,0",357,"3,96","3,97","2,4","37,73",3,7,4
33,"0,23",very Good,E,VS1,"60,7","59,0",402,"3,97","4,01","2,42","38,53",3,6,5
34,"0,23",very Good,E,VS1,"59,5","58,0",402,"4,01","4,06","2,4","39,07",3,6,5
35,"0,23",very Good,D,VS1,"61,9","58,0",402,"3,92","3,96","2,44","37,88",3,7,5
37,"0,23",Good,E,VS1,"64,1","59,0",402,"3,83","3,85","2,46","36,27",2,6,5
38,"0,31",Good,H,SI1,"64,0","54,0",402,"4,29","4,31","2,75","50,85",2,3,3
39,"0,26",very Good,D,VS2,"60,8","59,0",403,"4,13","4,16","2,52","43,3",3,7,4
40,"0,33",Ideal,I,SI2,"61,8","55,0",403,"4,49","4,51","2,78","56,29",5,2,2
41,"0,33",Ideal,I,SI2,"61,2","56,0",403,"4,49","4,5","2,75","55,56",5,2,2
42,"0,33",Ideal,J,SI1,"61,1","56,0",403,"4,49","4,55","2,76","56,39",5,1,3
43,"0,26",Good,D,VS2,"65,2","56,0",403,"3,99","4,02","2,61","41,86",2,7,4
44,"0,26",Good,D,VS1,"58,4","63,0",403,"4,19","4,24","2,46","43,7",2,7,5
45,"0,32",Good,H,SI2,"63,1","56,0",403,"4,34","4,37","2,75","52,16",2,3,2
