Index,Dimension_ABC_segmentation
24068,A
27416,A
27631,A
27131,A
25999,A
26445,A
26000,A
26535,A
23645,A
27680,A
24329,A
26432,A
24298,A
24132,A
27639,A
21759,A
25461,A
22429,A
27686,A
27515,A
22541,A
27685,A
24817,A
26468,A
16284,A
26101,A
27650,A
22742,A
26933,A
27516,A
27517,A
27518,A
27519,A
26745,A
19347,A
25851,A
23540,A
22832,A
19340,A
26934,A
25901,A
23581,A
24785,A
27017,A
26130,A
22400,A
27303,A
27066,A
27025,A
19867,A
20463,A
25526,A
21567,A
27164,A
26909,A
25779,A
27617,A
17197,A
26593,A
26554,A
26555,A
22579,A
22414,A
27081,A
27562,A
27728,A
27355,A
26658,A
26536,A
25193,A
27613,A
27082,A
24435,A
27006,A
27523,A
26957,A
25580,A
27136,A
27285,A
27067,A
27228,A
26916,A
25965,A
26609,A
26608,A
26456,A
23961,A
25763,A
27524,A
27450,A
25791,A
25533,A
26006,A
27522,A
27205,A
26645,A
26572,A
26119,A
27095,A
27732,A
27417,A
27406,A
27180,A
25650,A
27266,A
27024,A
25481,A
26819,A
26824,A
26925,A
26091,A
26883,A
27599,A
27552,A
25649,A
26448,A
25733,A
27431,A
23940,A
26743,A
23775,A
26959,A
27587,A
26887,A
27240,A
27426,A
22441,A
27457,A
25238,A
26288,A
26744,A
27177,A
27239,A
24674,A
20298,A
26044,A
25628,A
27551,A
25875,A
26271,A
27341,A
19922,A
27544,A
22005,A
26910,A
27000,A
24581,A
27108,A
26412,A
26270,A
26660,A
25454,A
19082,A
24863,A
24864,A
26820,A
26139,A
26538,A
27186,A
23784,A
25441,A
26048,A
27354,A
27675,A
26537,A
26886,A
27325,A
25730,A
26570,A
26521,A
26589,A
26405,A
25056,A
27353,A
25900,A
25769,A
26086,A
26539,A
25819,A
27634,A
26793,A
27658,A
27027,A
27028,A
27635,A
27567,A
26805,A
26938,A
27396,A
27397,A
27247,A
22671,A
27727,A
27147,A
23890,A
26804,A
21626,A
25878,A
27625,A
27210,A
26475,A
26865,A
26400,A
24125,A
25728,A
25951,A
23235,A
15685,A
27315,A
26569,A
26505,A
27622,A
26463,A
26917,A
24259,A
26867,A
25564,A
24182,A
27640,A
25760,A
27120,A
27221,A
25416,A
27119,A
26816,A
26314,A
26964,A
26321,A
19599,A
27564,A
23613,A
25436,A
27464,A
25922,A
26605,A
25054,A
25739,A
17898,A
27449,A
23215,A
23098,A
27621,A
27422,A
26943,A
24115,A
27198,A
27179,A
26089,A
25804,A
24628,A
25143,A
27632,A
27335,A
26873,A
25738,A
27261,A
27203,A
25231,A
27408,A
24991,A
25114,A
26975,A
27542,A
26476,A
22873,A
19947,A
24274,A
24524,A
24613,A
26497,A
26451,A
25776,A
25676,A
27455,A
25816,A
22998,A
27745,A
25138,A
26526,A
26601,A
27442,A
24617,A
24186,A
24841,A
26524,A
27273,A
27497,A
26932,A
26978,A
27086,A
25155,A
25276,A
27651,A
27584,A
26140,A
27514,A
24484,A
27071,A
27664,A
27750,A
23496,A
27421,A
24814,A
27254,A
27213,A
27583,A
25457,A
25860,A
26560,A
27257,A
27434,A
27337,A
26653,A
20852,A
23072,A
26757,A
25077,A
25627,A
20839,A
26617,A
26469,A
26529,A
26768,A
24148,A
26105,A
26257,A
26138,A
26760,A
27429,A
26289,A
27413,A
26905,A
25532,A
25459,A
26949,A
25480,A
26941,A
27018,A
25402,A
27556,A
25268,A
24605,A
26128,A
25540,A
24597,A
27425,A
26460,A
27096,A
26972,A
24546,A
26923,A
25530,A
26561,A
25259,A
25793,A
27541,A
26213,A
24745,A
26267,A
27123,A
25340,A
25339,A
23092,A
23878,A
26752,A
26818,A
25279,A
27015,A
27349,A
26585,A
26423,A
26083,A
23219,A
22871,A
26202,A
25750,A
19895,A
26797,A
25147,A
26379,A
25192,A
17182,A
25227,A
27171,A
26436,A
26322,A
24495,A
24415,A
25484,A
25410,A
27438,A
26465,A
26068,A
27477,A
27560,A
27630,A
27682,A
26532,A
26486,A
26495,A
26742,A
24479,A
27529,A
25090,A
22141,A
27019,A
26224,A
17957,A
27500,A
25203,A
27183,A
25140,A
25284,A
27344,A
27437,A
26876,A
25723,A
26134,A
25062,A
25141,A
27301,A
26807,A
26178,A
26108,A
25836,A
25771,A
25673,A
27272,A
27008,A
24279,A
25393,A
27591,A
27023,A
25931,A
24073,A
24154,A
25251,A
26629,A
27561,A
26243,A
26753,A
27473,A
24731,A
25571,A
25736,A
14139,A
27207,A
26112,A
17098,A
27677,A
26173,A
26942,A
25307,A
25107,A
26750,A
26631,A
26393,A
27245,A
25579,A
25497,A
24727,A
25490,A
17692,A
26808,A
26888,A
26647,A
26646,A
