Index,Quality_ABC_segmentation
16405,A
41827,A
9601,A
4001,A
35229,A
26966,A
42411,A
27227,A
7810,A
5346,A
5458,A
11018,A
7358,A
26199,A
25719,A
51174,A
51175,A
50673,A
26312,A
50672,A
26661,A
25623,A
16541,A
7321,A
3681,A
7038,A
47950,A
3683,A
3921,A
45881,A
46392,A
16376,A
44386,A
3803,A
34471,A
44402,A
44770,A
6298,A
3322,A
3911,A
40398,A
40401,A
17905,A
40400,A
39226,A
39224,A
40463,A
40466,A
40465,A
34109,A
36235,A
35682,A
48569,A
35785,A
41862,A
35856,A
36064,A
45249,A
35528,A
41497,A
293,A
44389,A
44388,A
45010,A
44773,A
44772,A
44771,A
42055,A
41780,A
2739,A
41297,A
40469,A
6625,A
36240,A
40467,A
39751,A
3100,A
44390,A
44037,A
47520,A
42122,A
44035,A
43780,A
39855,A
7980,A
1997,A
37554,A
42251,A
37448,A
11644,A
2597,A
31066,A
5254,A
42014,A
42077,A
42076,A
36663,A
32547,A
37188,A
2845,A
8728,A
32550,A
32057,A
41296,A
41298,A
41295,A
5522,A
4483,A
2268,A
39261,A
43052,A
26563,A
42820,A
7749,A
42587,A
42588,A
42366,A
2544,A
7754,A
1036,A
37789,A
37792,A
7951,A
44034,A
26188,A
40848,A
7512,A
25668,A
39230,A
7122,A
25303,A
25740,A
40880,A
6078,A
39229,A
52107,A
52106,A
39235,A
39236,A
39260,A
43419,A
25626,A
50697,A
51477,A
40780,A
50696,A
23700,A
4997,A
2200,A
47941,A
7329,A
2149,A
43244,A
4942,A
39202,A
23637,A
40464,A
40402,A
43250,A
20740,A
45366,A
53802,A
4226,A
40048,A
45440,A
3659,A
19359,A
46274,A
19363,A
6418,A
46275,A
15995,A
43316,A
43470,A
40738,A
39084,A
43317,A
41788,A
41719,A
40818,A
27678,A
38248,A
25828,A
42663,A
42355,A
37527,A
25987,A
38895,A
37528,A
40736,A
40737,A
38763,A
24909,A
41720,A
42664,A
40816,A
26153,A
41667,A
37822,A
38063,A
23591,A
38249,A
38247,A
40191,A
23913,A
24570,A
40342,A
7174,A
26884,A
40407,A
42490,A
38244,A
27140,A
42888,A
43638,A
26384,A
38245,A
38246,A
42354,A
43474,A
37529,A
37876,A
41046,A
41131,A
42222,A
39501,A
23495,A
43625,A
43627,A
41132,A
33100,A
36833,A
36834,A
36831,A
36883,A
41844,A
41843,A
36832,A
41237,A
41327,A
41328,A
41329,A
41718,A
39789,A
39791,A
41330,A
36490,A
36491,A
36499,A
36489,A
1691,A
40364,A
40781,A
26106,A
26238,A
26550,A
27531,A
26004,A
11525,A
41789,A
41247,A
40386,A
6317,A
21536,A
43245,A
39191,A
39049,A
4981,A
43227,A
43228,A
48038,A
38902,A
38903,A
38908,A
38909,A
38910,A
38900,A
38826,A
38901,A
39092,A
39081,A
23001,A
23133,A
14181,A
22828,A
23563,A
23542,A
51762,A
51865,A
22912,A
22980,A
23190,A
51833,A
51763,A
51866,A
23632,A
23617,A
43576,A
43577,A
46988,A
23204,A
481,A
43230,A
43368,A
43243,A
39151,A
38744,A
2145,A
23699,A
23778,A
23905,A
43231,A
43254,A
43256,A
51449,A
50779,A
25570,A
24561,A
24515,A
24510,A
23988,A
23989,A
24296,A
24462,A
24418,A
24146,A
546,A
23927,A
24109,A
24110,A
24241,A
24203,A
24188,A
23916,A
25112,A
25072,A
25076,A
25068,A
23964,A
24060,A
24016,A
38556,A
38557,A
40861,A
24655,A
40660,A
40722,A
38904,A
40733,A
51339,A
51338,A
25069,A
24979,A
24973,A
25005,A
24650,A
24480,A
25638,A
24601,A
24793,A
25332,A
25334,A
42985,A
5105,A
47090,A
42973,A
42978,A
50896,A
50961,A
676,A
51087,A
25206,A
25302,A
25282,A
50513,A
26303,A
25983,A
25315,A
25774,A
38500,A
38516,A
38751,A
38735,A
38753,A
7442,A
38679,A
50777,A
38738,A
38558,A
38677,A
38678,A
43165,A
43166,A
43220,A
43226,A
43246,A
43582,A
43796,A
39216,A
2496,A
43574,A
23105,A
23109,A
39317,A
39322,A
39325,A
39326,A
38994,A
39147,A
22930,A
6973,A
39374,A
22967,A
22768,A
22851,A
23052,A
43040,A
43167,A
43168,A
42979,A
42981,A
42971,A
42972,A
43012,A
43164,A
13500,A
26565,A
26508,A
50159,A
13496,A
13497,A
13498,A
13499,A
7373,A
7377,A
38467,A
38451,A
38330,A
38331,A
38332,A
38333,A
38680,A
38713,A
38336,A
38334,A
7687,A
12474,A
30261,A
12801,A
12802,A
996,A
12704,A
12705,A
42808,A
42852,A
28679,A
28680,A
28136,A
28415,A
29554,A
42854,A
47107,A
47091,A
27914,A
28043,A
42856,A
27371,A
42649,A
42657,A
42660,A
42419,A
31063,A
31065,A
42538,A
42392,A
38241,A
38167,A
38156,A
38157,A
38160,A
38163,A
38164,A
38161,A
38162,A
48264,A
50124,A
12711,A
12712,A
7570,A
38465,A
38466,A
38357,A
38363,A
40965,A
40978,A
41004,A
41012,A
40979,A
37799,A
37807,A
40858,A
2574,A
2011,A
40877,A
40919,A
42559,A
42560,A
42534,A
42537,A
42561,A
42562,A
42566,A
42569,A
42539,A
42557,A
42570,A
42571,A
42646,A
42647,A
8231,A
37549,A
37550,A
1920,A
1934,A
37653,A
34343,A
34493,A
1996,A
37743,A
31018,A
31058,A
37985,A
38028,A
7979,A
37551,A
53225,A
41003,A
31564,A
31565,A
31566,A
30764,A
30778,A
41160,A
41162,A
41167,A
41170,A
2628,A
37342,A
37343,A
37344,A
2630,A
2614,A
1935,A
1919,A
53488,A
53720,A
41107,A
32011,A
32012,A
31687,A
31688,A
11670,A
32003,A
31393,A
8207,A
37737,A
37742,A
31684,A
31567,A
49691,A
31569,A
32009,A
37424,A
37425,A
8285,A
37517,A
37428,A
37435,A
37421,A
42320,A
2908,A
42321,A
37441,A
37395,A
37400,A
37422,A
49372,A
42324,A
42214,A
42215,A
40367,A
39597,A
39598,A
39631,A
52881,A
52134,A
52220,A
14472,A
22212,A
40368,A
39870,A
43753,A
43830,A
23454,A
23503,A
