Index,Table_ABC_segmentation
51343,A
52861,A
51392,A
49376,A
52862,A
44939,A
42257,A
43706,A
47150,A
51027,A
315,A
23068,A
18125,A
92,A
24606,A
43399,A
20757,A
40212,A
52475,A
35754,A
19561,A
5462,A
41796,A
53065,A
41648,A
45993,A
22732,A
14313,A
10923,A
23293,A
2444,A
8203,A
9295,A
48506,A
24096,A
1276,A
5363,A
22517,A
46697,A
9950,A
527,A
49833,A
4685,A
47403,A
713,A
47758,A
1525,A
11758,A
47233,A
1228,A
23259,A
15952,A
228,A
52584,A
18025,A
46504,A
36905,A
14492,A
34070,A
47532,A
51154,A
36504,A
52676,A
53543,A
6796,A
2210,A
26223,A
25900,A
26671,A
48123,A
48183,A
32378,A
2273,A
16409,A
42674,A
42574,A
31612,A
48618,A
48595,A
25866,A
48598,A
1599,A
37503,A
51226,A
19503,A
38584,A
2927,A
5776,A
9204,A
48627,A
48284,A
297,A
53155,A
23104,A
1904,A
46990,A
5364,A
47110,A
1499,A
21157,A
50249,A
25067,A
25138,A
24620,A
5895,A
23857,A
48687,A
43302,A
50711,A
6163,A
49613,A
22573,A
8919,A
1141,A
7756,A
24524,A
14653,A
49161,A
3171,A
17875,A
40107,A
40446,A
52866,A
11684,A
51625,A
20245,A
51618,A
6741,A
357,A
10110,A
3237,A
51049,A
5152,A
9214,A
50257,A
29621,A
9104,A
4128,A
47776,A
3,A
26255,A
26206,A
23540,A
6029,A
772,A
6920,A
51342,A
24449,A
18470,A
48778,A
48853,A
2858,A
42644,A
52084,A
42665,A
43560,A
7705,A
15758,A
15863,A
52283,A
51086,A
37746,A
6813,A
26221,A
4791,A
43067,A
26376,A
5082,A
42805,A
11994,A
42724,A
21886,A
51873,A
32631,A
53696,A
18294,A
53698,A
18195,A
12438,A
40161,A
40336,A
40376,A
11438,A
1881,A
40034,A
8037,A
51229,A
17832,A
11630,A
50480,A
6631,A
36351,A
17619,A
10026,A
50485,A
43518,A
43777,A
2072,A
16126,A
23196,A
35965,A
8529,A
51514,A
41660,A
17238,A
17198,A
17359,A
20442,A
35143,A
34943,A
49939,A
44418,A
7351,A
51731,A
49248,A
50843,A
5495,A
31962,A
50243,A
52168,A
5907,A
51592,A
20960,A
41893,A
2132,A
6446,A
21417,A
47505,A
13764,A
13606,A
13703,A
22835,A
3886,A
2299,A
49813,A
8674,A
43778,A
47741,A
25481,A
13487,A
27836,A
1494,A
5602,A
4487,A
53786,A
4641,A
26845,A
26778,A
5173,A
5132,A
25092,A
51115,A
53227,A
24892,A
48122,A
4786,A
26263,A
4974,A
48635,A
42906,A
48463,A
47813,A
47396,A
4583,A
47836,A
26888,A
26808,A
26764,A
220,A
27647,A
2916,A
38197,A
50860,A
51074,A
4961,A
53757,A
9393,A
9438,A
48242,A
12788,A
4648,A
25851,A
25853,A
25910,A
26835,A
8572,A
49882,A
49937,A
7544,A
43034,A
21611,A
32507,A
10422,A
505,A
42775,A
7517,A
42680,A
2263,A
50070,A
11831,A
31121,A
462,A
15670,A
15516,A
49258,A
43936,A
44033,A
49484,A
7590,A
49539,A
15978,A
2144,A
43294,A
16641,A
49793,A
11837,A
51542,A
3596,A
21301,A
33085,A
3609,A
10594,A
10571,A
42153,A
42154,A
16787,A
7433,A
42192,A
42198,A
42188,A
3958,A
22832,A
23168,A
23095,A
30410,A
52167,A
52137,A
49058,A
15197,A
15147,A
7787,A
15322,A
15326,A
49283,A
12148,A
3839,A
3809,A
3393,A
20316,A
6565,A
8948,A
3476,A
41695,A
17151,A
41504,A
41650,A
869,A
2475,A
41146,A
50175,A
933,A
14862,A
49068,A
12316,A
5853,A
5854,A
52177,A
23498,A
5847,A
4091,A
23568,A
4158,A
10170,A
3937,A
31179,A
31180,A
22992,A
36524,A
35490,A
35684,A
20103,A
10760,A
51373,A
2505,A
40970,A
17782,A
50573,A
36959,A
36857,A
37341,A
51408,A
23766,A
4213,A
5673,A
5660,A
24125,A
13993,A
13974,A
46059,A
49208,A
1197,A
49212,A
45342,A
7953,A
45117,A
45078,A
14638,A
14617,A
14848,A
51228,A
10978,A
8853,A
40441,A
40416,A
40193,A
39973,A
39948,A
50437,A
11437,A
11416,A
6876,A
19090,A
19463,A
27783,A
28271,A
9149,A
5474,A
5447,A
27650,A
52749,A
52732,A
9963,A
1642,A
13724,A
46700,A
46463,A
12548,A
8432,A
23764,A
52870,A
240,A
47088,A
13524,A
13492,A
12747,A
8364,A
4365,A
19247,A
37813,A
19237,A
37531,A
37218,A
37200,A
18130,A
50628,A
39386,A
7002,A
50685,A
11330,A
38889,A
38821,A
18838,A
38439,A
51019,A
48376,A
146,A
1423,A
48549,A
13009,A
9290,A
9242,A
9660,A
53578,A
11667,A
50314,A
45601,A
9597,A
9254,A
4921,A
4906,A
4916,A
4886,A
